# z mu_obs mu_err
0.01012 13.90745 0.19825
0.01038 14.0496 0.2048
0.01043 13.9248 0.20035
0.01082 14.0086 0.18445
0.01209 13.9791 0.1914
0.0122 14.4566 0.1737
0.01226 14.4674 0.17765
0.01268 14.4486 0.171
0.01271 14.2811 0.1749
0.01291 14.1903 0.1716
0.01318 14.55605 0.17285
0.01382 14.47835 0.15385
0.01402 14.64805 0.16195
0.01447 14.6408 0.16555
0.01451 14.89705 0.16765
0.01454 14.99535 0.1656
0.01472 14.6158 0.14905
0.01504 14.69915 0.1491
0.01506 14.6193 0.15445
0.0152 14.53545 0.1635
0.0153 14.6705 0.1456
0.01531 14.74935 0.1526
0.01531 14.59755 0.1613
0.01532 14.9486 0.16405
0.01567 14.4307 0.15405
0.01568 14.7589 0.1525
0.01572 14.86115 0.1939
0.01629 15.17685 0.15115
0.01635 14.8831 0.1518
0.01662 14.6312 0.14705
0.01663 15.01385 0.15025
0.01678 14.92685 0.15925
0.01697 14.91335 0.1531
0.01698 14.6697 0.1558
0.01705 14.85645 0.1832
0.01724 14.9294 0.1556
0.01726 14.9156 0.1511
0.01732 14.8718 0.1587
0.0174 15.26595 0.1485
0.01741 15.1 0.1498
0.01752 15.0558 0.1465
0.01754 14.9841 0.1341
0.01763 14.9354 0.1562
0.01908 15.3534 0.14115
0.0197 15.45455 0.1578
0.01972 15.27645 0.15785
0.0202 15.02285 0.15165
0.02024 15.2868 0.12735
0.02031 15.30565 0.1353
0.02038 15.42955 0.14185
0.0204 15.7067 0.156
0.02091 15.36595 0.1368
0.0212 15.4466 0.1437
0.02171 15.502 0.13615
0.02189 15.53085 0.1381
0.02197 15.36745 0.1436
0.0221 15.7795 0.13695
0.02223 15.3918 0.13205
0.02249 15.56975 0.1391
0.02275 15.5348 0.13625
0.02348 15.66265 0.13895
0.02349 15.6236 0.1338
0.02384 15.7013 0.1335
0.02398 15.8239 0.13525
0.02401 15.78645 0.12635
0.02414 15.68035 0.1291
0.02454 15.6001 0.1278
0.02477 15.6593 0.1718
0.02482 15.64995 0.13485
0.02525 15.82815 0.13295
0.02529 15.7896 0.1405
0.02547 15.86575 0.1242
0.02557 15.8607 0.1496
0.02559 15.5514 0.1259
0.0258 16.1648 0.1376
0.02627 15.98385 0.1362
0.02639 15.93305 0.1399
0.02643 15.91835 0.1425
0.02651 16.06745 0.1248
0.02673 15.97105 0.16165
0.02689 15.87545 0.126
0.02751 15.9978 0.1291
0.02752 16.23595 0.1341
0.02752 16.0669 0.14255
0.02763 16.23455 0.1179
0.02811 16.3465 0.12485
0.02837 16.1044 0.12155
0.02845 16.04785 0.1364
0.02846 16.0051 0.13405
0.02878 16.10835 0.12155
0.0288 16.09165 0.13605
0.02894 16.02685 0.1316
0.02932 15.8648 0.1457
0.0295 16.3438 0.12735
0.0299 16.2413 0.123
0.03001 16.1733 0.12025
0.03048 16.25295 0.1342
0.03049 16.28725 0.1419
0.03055 15.88935 0.45085
0.03144 16.31895 0.12075
0.03155 16.1279 0.14115
0.03161 16.3736 0.12625
0.03163 16.21965 0.11945
0.03184 16.34225 0.12125
0.03191 16.59205 0.12775
0.03212 16.23615 0.1431
0.0322 16.472 0.1289
0.03273 16.3843 0.1205
0.0328 16.64085 0.12525
0.03292 16.452 0.1185
0.03314 16.39225 0.12215
0.03348 16.4802 0.15235
0.03359 16.59355 0.1061
0.03378 16.38795 0.1403
0.03399 16.35135 0.11105
0.03408 16.39975 0.12455
0.03411 16.515 0.1148
0.03416 16.57565 0.1563
0.03426 16.4701 0.12025
0.03434 16.61295 0.1249
0.03438 16.6071 0.12105
0.03489 16.36835 0.1667
0.03501 16.6581 0.12485
0.03507 16.45115 0.16785
0.03518 16.42245 0.15235
0.03578 16.59205 0.1761
0.03682 16.77055 0.12655
0.037 16.74885 0.12725
0.03713 16.56045 0.1177
0.0373 16.8196 0.11505
0.03743 16.7708 0.1166
0.03791 16.5851 0.2001
0.038 16.7664 0.13185
0.03827 16.99715 0.1201
0.03837 16.9021 0.16555
0.03863 16.86145 0.1275
0.03984 16.7074 0.1146
0.04028 16.8206 0.11335
0.04067 16.7928 0.1127
0.04093 17.0528 0.11665
0.04093 16.7302 0.1297
0.0415 16.9967 0.1259
0.04269 16.93325 0.117
0.0431 16.97675 0.10685
0.04341 16.93145 0.1209
0.04437 16.72085 0.19805
0.04437 16.92415 0.11995
0.04486 17.2055 0.14795
0.04582 17.29255 0.1243
0.04597 17.2822 0.1025
0.04651 17.18185 0.11625
0.0471 16.9842 0.14465
0.04713 17.1679 0.1151
0.04714 17.16275 0.12315
0.04819 17.4344 0.12175
0.04949 17.32405 0.12545
0.04976 17.35275 0.13525
0.05035 17.2903 0.16335
0.05067 17.57225 0.158
0.05092 17.42035 0.1224
0.05322 17.57915 0.12805
0.05344 17.62205 0.1398
0.05359 17.4687 0.1439
0.05418 17.3218 0.11385
0.05458 17.4521 0.1018
0.05495 17.60185 0.1165
0.05573 17.56165 0.10915
0.05581 17.23215 0.12285
0.05684 17.73355 0.1203
0.05715 17.65695 0.1072
0.05721 17.60445 0.1094
0.0589 17.792 0.11395
